timestamp,heartRate,spo2,breathRate,breathDepth,temperature
2026-02-23 22:00:00,70.6,95.8,12,2.6,36.6
2026-02-23 22:00:10,70.5,97.4,16.5,2.4,36.2
2026-02-23 22:00:20,71.7,97.4,12.1,2.3,36.2
2026-02-23 22:00:30,71.3,97,19,3.5,37.4
2026-02-23 22:00:40,71,98.4,13.5,3.7,37.1
2026-02-23 22:00:50,68,99.9,19.1,4.4,37
2026-02-23 22:01:00,70.2,98.2,14,3.1,37
2026-02-23 22:01:10,71.4,96,15.6,4.8,36.6
2026-02-23 22:01:20,71.6,98.2,12.7,2.5,37
2026-02-23 22:01:30,71.7,95.2,15,2.9,36.3
2026-02-23 22:01:40,71.2,95.1,14.5,4.5,36.5
2026-02-23 22:01:50,69.5,99.7,17.1,3.9,36.6
2026-02-23 22:02:00,68.9,99.9,19.8,3.6,36.2
2026-02-23 22:02:10,69.9,95.6,19.4,3.2,36
2026-02-23 22:02:20,67.7,97.7,12.9,4.9,37.4
2026-02-23 22:02:30,67.9,97.9,12.2,2.4,36.6
2026-02-23 22:02:40,68.7,98.6,16.5,4.8,36.2
2026-02-23 22:02:50,71.1,99,14.2,3,36.1
2026-02-23 22:03:00,70.4,95.9,14.2,2.8,36.6
2026-02-23 22:03:10,67.8,98.1,18.1,2.9,36.8
2026-02-23 22:03:20,69.5,95.3,17.2,4.2,36.1
2026-02-23 22:03:30,70.8,95.7,12.5,5,36.3
2026-02-23 22:03:40,69.3,99.9,18,3.5,37.5
2026-02-23 22:03:50,70.9,96.2,18.1,2.2,36
2026-02-23 22:04:00,70.6,95,12.2,4.5,36.9
2026-02-23 22:04:10,67.9,99.5,12.6,3.1,36.3
2026-02-23 22:04:20,68.1,97.6,16.8,3.5,36.7
2026-02-23 22:04:30,68.4,97,16.9,3.2,36
2026-02-23 22:04:40,69,99.8,18.5,4.2,36.1
2026-02-23 22:04:50,67.8,98,18.6,4.2,37.3
2026-02-23 22:05:00,68.8,97.9,15.5,3.7,36.1
2026-02-23 22:05:10,67.8,95.3,17.5,2.9,36.6
2026-02-23 22:05:20,70.5,98.1,15.9,2.7,37
2026-02-23 22:05:30,67.7,95.8,15.1,2.4,37.4
2026-02-23 22:05:40,67.4,98.5,13.4,3.8,36.3
