Timestamp,Heart Rate (BPM),SpO₂ (%),Airflow (0-1),Chest Movement (0-1),Breath Rate (RPM),Position
2024-01-15 23:00:00,62.7,97.1,1,0.996,14.3,supine
2024-01-15 23:00:02,63,97.6,1,0.994,13.8,supine
2024-01-15 23:00:04,61.6,97.8,0.984,1,13.8,supine
2024-01-15 23:00:06,64.4,97.8,1,0.91,13.1,supine
2024-01-15 23:00:08,61.3,97.4,1,0.966,14.6,supine
2024-01-15 23:00:10,61.3,96.9,0.962,0.931,13.9,supine
2024-01-15 23:00:12,62.4,97.9,1,1,14.2,supine
2024-01-15 23:00:14,59.4,97.2,1,1,14.5,supine
2024-01-15 23:00:16,60.5,97.7,1,0.994,14,supine
2024-01-15 23:00:18,60.6,97.4,1,0.998,13.9,supine
2024-01-15 23:00:20,64.2,97.1,0.984,1,13.4,supine
2024-01-15 23:00:22,62.1,97,1,0.972,13.8,supine
2024-01-15 23:00:24,61.2,97.3,1,0.997,14.4,supine
2024-01-15 23:00:26,60.3,97.3,0.943,0.988,13.8,supine
2024-01-15 23:00:28,61.1,97.3,1,0.944,13.7,supine
2024-01-15 23:00:30,61.1,97.9,0.989,1,13.9,supine
2024-01-15 23:00:32,62,97.7,1,1,13.9,supine
2024-01-15 23:00:34,63.2,97.3,0.979,1,14.5,supine
2024-01-15 23:00:36,62.3,97.2,0.971,1,14.3,supine
2024-01-15 23:00:38,60,97.5,0.996,1,14.1,supine
2024-01-15 23:00:40,63.1,97.4,0.975,1,14,supine
2024-01-15 23:00:42,61.8,97.5,0.973,1,14.1,supine
2024-01-15 23:00:44,59.8,97.7,0.974,1,14.5,supine
2024-01-15 23:00:46,61.3,97.4,1,1,13.9,supine
2024-01-15 23:00:48,62.5,97.1,0.995,1,14.3,supine
2024-01-15 23:00:50,62.5,97.4,0.962,0.958,13.8,supine
2024-01-15 23:00:52,61,98,0.991,0.985,15.4,supine
2024-01-15 23:00:54,63.5,98,1,1,14.2,supine
2024-01-15 23:00:56,60.7,97.6,0.97,1,14.8,supine
